ID,Post Title,Post Name,Type,Singular,First Letter,Years,Year
4513,SCHINDLER,schindler-2,Organisation,1,,2020,2020
4510,Federal Office of Culture (FOC/FDHA),federal-office-of-culture-foc-fdha,Organisation,1,,2020,2020
4507,Mercator Foundation Switzerland,mercator-foundation-switzerland,Organisation,1,,2020,2020
4504,FONDAZIONE TEOFIILO ROSSI DI MONTELERA E DI PREMUDA,fondazione-teofiilo-rossi-di-montelera-e-di-premuda-2,Organisation,1,,2020,2020
4501,PPG,ppg-2,Organisation,1,,2020,2020
4498,Fondation Maisons pour Etudiants Lausanne (FMEL),fondation-maisons-pour-etudiants-lausanne-fmel-2,Organisation,1,,2020,2020
4495,Charitable umbrella foundation EMPIRIS,charitable-umbrella-foundation-empiris,Organisation,1,,2020,2020
4492,FONDATION JUFER,fondation-jufer-2,Organisation,1,,2020,2020
4490,DRS. PAUL AND CHRISTA PLICHTA,drs-paul-and-christa-plichta-2,Individual,,P,2020,2020
4486,Credit Suisse Foundation,credit-suisse-foundation-2,Organisation,1,,2020,2020
4483,BASF,basf-2,Organisation,1,,2020,2020
6360,Huawei Technologies Switzerland AG,huawei-technologies-switzerland-ag-2,Organisation,1,,2021,2021
6295,Bosch Research Foundation part of the Stifterverband,supported-with-funds-from-bosch-research-foundation-part-of-the-stifterverband,Organisation,1,,2021,2021
6294,Vingroup,vingroup-2,Organisation,1,,2021,2021
6293,Qualcomm,qualcomm-2,Organisation,1,,2021,2021
6292,Unitaid,unitaid-2,Organisation,1,,2021,2021
6291,Unigestion SA,unigestion-sa-2,Organisation,1,,2021,2021
6290,A foundation advised by CARIGEST Ltd.,a-foundation-advised-by-carigest-ltd,Organisation,1,,2021,2021
6289,The Michael J. Fox Foundation for Parkinson’s Research,the-michael-j-fox-foundation-for-parkinsons-research-2,Organisation,1,,2021,2021
6288,The Climate Cousins Foundation,the-climate-cousins-foundation-2,Organisation,1,,2021,2021
6287,tdAcademy,tdacademy-2,Organisation,1,,2021,2021
6286,Synopsys Inc.,synopsys-inc-2,Organisation,1,,2021,2021
6285,Charitable umbrella foundation SYMPHASIS,charitable-umbrella-foundation-symphasis,Organisation,1,,2021,2021
6284,NCCR SwissMAP – The Mathematics of Physics,nccr-swissmap-the-mathematics-of-physics,Organisation,1,,2021,2021
6283,Anniversary Foundation of Swiss Life for Public Health and Medical Research,anniversary-foundation-of-swiss-life-for-public-health-and-medical-research,Organisation,1,,2021,2021
6282,Swiss Polar Institute,swiss-polar-institute-2,Organisation,1,,2021,2021
6281,SolidarMed,solidarmed-2,Organisation,1,,2021,2021
6280,Alfred P. Sloan Foundation,alfred-p-sloan-foundation-2,Organisation,1,,2021,2021
6277,SIKA Technology AG,sika-technology-ag-2,Organisation,1,,2021,2021
6279,SIG,sig-2,Organisation,1,,2021,2021
6276,Swiss society of engineers and architects,swiss-society-of-engineers-and-architects,Organisation,1,,2021,2021
6275,Schindler Elevators Ltd,schindler-elevators-ltd,Organisation,1,,2021,2021
6274,"Sabine Süsstrunk, Professor",sabine-susstrunk-professor,Individual,1,,2021,2021
6273,Research Foundation for Opto-Science and Technology,research-foundation-for-opto-science-and-technology,Organisation,1,,2021,2021
6272,Fondation Professeur Charles Rapin,fondation-professeur-charles-rapin-2,Organisation,1,,2021,2021
6271,Radala Foundation,radala-foundation,Organisation,1,,2021,2021
6270,"Qatar National Research Fund, member of Qatar Foundation",qatar-national-research-fund-member-of-qatar-foundation-2,Organisation,1,,2021,2021
6269,Groupe Stellantis / Department of Automotive Research and Innovation,groupe-stellantis-department-of-automotive-research-and-innovation,Organisation,1,,2021,2021
6268,M. George Popescu,m-george-popescu-2,Individual,1,,2021,2021
6267,Oracle Labs,oracle-labs-2,Organisation,1,,2021,2021
6266,Procter & Gamble,procter-gamble-2,Organisation,1,,2021,2021
6265,Novartis Forschungsstiftung,novartis-forschungsstiftung-2,Organisation,1,,2021,2021
